"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-31","0.03","80","41","59"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-01","0.24","80","41","59"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-02","0.00","81","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-03","0.00","85","71","73"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-04","0.00","86","72","73"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-05","0.00","90","69","75"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-06","0.00","88","68","74"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-07","0.00","88","68","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-08","0.00","72","46","49"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-09","0.00","61","48","52"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-10","0.00","62","48",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-11","0.11","68","53","62"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-12","0.10","75","57","66"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-13","0.22","70","65","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-14","0.02","78","64","65"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-15","0.00","78","64","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-16","0.00","79","66","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-17","0.00","84","67","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-18","0.00","85","69","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-19","0.00","85","44","64"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-20","0.00","64","39","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-21","0.00","69","37","49"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-22","0.00","74","47","54"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-23","0.00","67","31",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-24","0.00","71","30",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-25","0.00","76","35","53"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-26","0.00","83","40","55"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-27","0.00","77","48","54"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-28","0.00","78","46","54"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-29","0.00","80","47","60"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-11-30","0.00","74","44","54"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-01","0.00","74","44","54"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-02",,"78","47",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-03",,"78","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-04",,"84","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-05",,"70","45",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-06",,"70","42","42"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-07",,"45","37",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-08","0.58","42","32","36"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-09","0.00","55","29","38"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-10","0.00","68","29","35"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-11","0.00","67","29","30"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-12","0.00","73","30","52"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-13","0.00","65","32","36"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-14","0.00","60","31","43"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-15","0.02","63","38",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-16","0.00","58","43","47"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-17","1.19","50","44","47"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-18","0.02","55","46","51"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-19","0.57","61","50","61"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-20","0.08","66","54","54"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-21","0.00","72","41",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-22","0.00","78","39","69"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-23","0.00","76","42","45"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-24","0.00","59","34","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-25","0.00","69","33",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-26","0.00","52","36",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-27","0.00","52","41","41"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-28","0.00","41","37","38"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-29","0.00","49","37","43"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-30","0.00","52","42","52"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-12-31","0.00","65","48",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-01","0.00","48","27","27"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-02","0.00","31","26","30"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-03","0.00","35","20","28"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-04","0.00","57","18","34"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-05","0.08","57","25","49"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-06","0.00","61","36",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-07","0.00","64","37",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-08","0.00","67","51",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2018-01-09","0.00","71","35","43"
